X,Y,Distance,"""LRO LOLA DEM, 87.5 deg v4, S Pole""","""LRO LOLA DEM, 75 deg v4, S Pole""","""LRO LOLA DEM, 45 deg v4, S Pole""","""LRO LOLA DEM 128ppd, Endurance-A Site 007"""
-3282.0981983313586,-13357.578545198376,0,1260,1260,1263.5,
-3227.6287492442516,-13322.121915722797,64.99,1266,1265,1263.5,
-3173.1593001571446,-13286.66528624722,129.98,1270.5,1272.5,1273,
-3118.6898510700375,-13251.208656771643,194.96999999999997,1279,1277.5,1273,
-3064.2204019829305,-13215.752027296065,259.96,1277.5,1278,1279.5,
-3009.7509528958235,-13180.295397820486,324.95,1281.5,1286,1278.5,
-2955.2815038087165,-13144.83876834491,389.93999999999994,1294.5,1292,1294,
-2900.8120547216095,-13109.382138869332,454.92999999999995,1303,1305.5,1294,
-2846.3426056345024,-13073.925509393754,519.92,1311.5,1310.5,1307.5,
-2791.8731565473954,-13038.468879918175,584.91,1309.5,1309,1310,
-2737.4037074602884,-13003.012250442598,649.9,1311,1309.5,1310,
-2682.934258373181,-12967.555620967021,714.89,1320.5,1317.5,1322,
-2628.464809286074,-12932.098991491443,779.8799999999999,1327,1325,1322,
-2573.995360198967,-12896.642362015864,844.8699999999999,1326,1324.5,1329.5,
-2519.52591111186,-12861.185732540287,909.8599999999999,1329.5,1332,1329.5,
-2465.056462024753,-12825.72910306471,974.8499999999999,1339,1338,1340,
-2410.587012937646,-12790.272473589132,1039.84,1346,1346.5,1349,
-2356.1175638505388,-12754.815844113553,1104.83,1349.5,1348.5,1350,
-2301.6481147634317,-12719.359214637976,1169.82,1354,1355,1350,
-2247.1786656763247,-12683.9025851624,1234.81,1360.5,1360.5,1364.5,
-2192.7092165892177,-12648.44595568682,1299.8,1368.5,1367,1372,
-2138.23976750211,-12612.989326211242,1364.79,1382,1380,1372,
-2083.770318415003,-12577.532696735665,1429.78,1393.5,1392,1396.5,
-2029.3008693278964,-12542.076067260088,1494.77,1400.5,1397.5,1396.5,
-1974.8314202407894,-12506.61943778451,1559.7599999999998,1409,1411.5,1401.5,
-1920.3619711536824,-12471.16280830893,1624.7499999999998,1412,1413.5,1414,
-1865.8925220665753,-12435.706178833354,1689.7399999999998,1423,1422,1423.5,
-1811.4230729794683,-12400.249549357777,1754.7299999999998,1432.5,1432,1423.5,
-1756.953623892361,-12364.792919882198,1819.7199999999998,1443,1441.5,1447,
-1702.484174805254,-12329.33629040662,1884.7099999999998,1453.5,1457.5,1447,
-1648.014725718147,-12293.879660931043,1949.6999999999998,1469,1471.5,1474,
-1593.54527663104,-12258.423031455466,2014.6899999999998,1479,1480.5,1480.5,
-1539.075827543933,-12222.966401979887,2079.68,1485.5,1485.5,1480.5,
-1484.606378456826,-12187.509772504309,2144.6699999999996,1492.5,1491.5,1499,
-1430.136929369719,-12152.053143028732,2209.66,1496,1493.5,1499,
-1375.667480282612,-12116.596513553155,2274.6499999999996,1509.5,1512.5,1503.5,
-1321.1980311955049,-12081.139884077576,2339.64,1514.5,1516,1519.5,
-1266.7285821083976,-12045.683254601998,2404.6299999999997,1509.5,1511.5,1511,
-1212.2591330212908,-12010.226625126421,2469.62,1515.5,1512,1511,
-1157.7896839341838,-11974.769995650844,2534.6099999999997,1511.5,1507.5,1510,
-1103.3202348470768,-11939.313366175265,2599.6,1507.5,1510,1510,
-1048.8507857599693,-11903.856736699687,2664.5899999999997,1494.5,1491,1504,
-994.3813366728623,-11868.40010722411,2729.58,1491,1490,1468.5,
-939.9118875857553,-11832.943477748533,2794.5699999999997,1458.5,1466.5,1468.5,
-885.4424384986482,-11797.486848272954,2859.56,1448,1448,1435.5,
-830.9729894115412,-11762.030218797376,2924.5499999999997,1429.5,1428,1435.5,
-776.5035403244342,-11726.573589321799,2989.54,1405,1393,1395,
-722.0340912373272,-11691.116959846222,3054.5299999999997,1386.5,1379,1382.5,
-667.5646421502202,-11655.660330370643,3119.5199999999995,1351.5,1354,1336,
-613.0951930631131,-11620.203700895065,3184.5099999999998,1283,1288,1336,
-558.6257439760061,-11584.747071419488,3249.4999999999995,1283,1283.5,1272.5,
-504.1562948888991,-11549.290441943911,3314.49,1250,1242.5,1272.5,
-449.68684580179206,-11513.833812468332,3379.4799999999996,1217.5,1208.5,1228,
-395.21739671468504,-11478.377182992754,3444.47,1188,1186.5,1122,
-340.747947627578,-11442.920553517177,3509.4599999999996,1106.5,1112,1122,
-286.278498540471,-11407.4639240416,3574.45,1088.5,1088,1087.5,
-231.8090494533635,-11372.007294566021,3639.4399999999996,1047,1036.5,1037,
-177.3396003662565,-11336.550665090443,3704.43,1038,1027.5,1024.5,
-122.87015127914947,-11301.094035614866,3769.4199999999996,1003.5,1006.5,1024.5,
-68.40070219204244,-11265.637406139289,3834.41,969,969.5,960,
-13.931253104935422,-11230.18077666371,3899.3999999999996,929.5,935,960,
40.5381959821716,-11194.724147188132,3964.39,886,895,865.5,
95.00764506927862,-11159.267517712555,4029.3799999999997,856,852.5,865.5,
149.47709415638565,-11123.810888236978,4094.37,800,819,822,
203.94654324349267,-11088.3542587614,4159.36,771,771.5,730.5,
258.4159923305997,-11052.89762928582,4224.349999999999,735.5,724.5,730.5,
312.8854414177067,-11017.440999810244,4289.339999999999,705.5,703.5,690.5,
367.35489050481374,-10981.984370334667,4354.33,669.5,669.5,668.5,
421.82433959192076,-10946.527740859088,4419.32,637,623,621,
476.2937886790278,-10911.07111138351,4484.3099999999995,585.5,593,621,
530.7632377661348,-10875.614481907933,4549.299999999999,568.5,570,557.5,
585.2326868532418,-10840.157852432356,4614.29,530,535.5,557.5,
639.7021359403489,-10804.701222956777,4679.28,486.5,487,492,
694.1715850274563,-10769.244593481199,4744.2699999999995,459.5,463,464.5,
748.6410341145634,-10733.787964005622,4809.259999999999,411,414.5,412.5,
803.1104832016704,-10698.331334530045,4874.25,360.5,365.5,333.5,
857.579932288777,-10662.874705054466,4939.24,339,341,333.5,
912.049381375884,-10627.418075578888,5004.23,295.5,300,288.5,
966.518830462991,-10591.96144610331,5069.219999999999,254,256,248.5,
1020.988279550098,-10556.504816627734,5134.21,215,200,193.5,
1075.457728637205,-10521.048187152155,5199.2,166.5,172,193.5,
1129.927177724313,-10485.591557676576,5264.19,118,122.5,103.5,
1184.39662681142,-10450.134928201,5329.179999999999,92,92.5,103.5,
1238.866075898527,-10414.678298725423,5394.169999999999,38.5,36,46,
1293.335524985634,-10379.221669249844,5459.16,-39,-44,-23.5,
1347.804974072741,-10343.765039774265,5524.15,-32,-34,-59,
1402.274423159848,-10308.308410298689,5589.139999999999,-86,-78.5,-92.5,
1456.743872246955,-10272.851780823112,5654.129999999999,-112.5,-127,-128,
1511.2133213340621,-10237.395151347533,5719.12,-160,-158,-172.5,
1565.6827704211692,-10201.938521871954,5784.11,-186.5,-185.5,-172.5,
1620.1522195082762,-10166.481892396378,5849.099999999999,-238.5,-243.5,-254.5,
1674.6216685953832,-10131.0252629208,5914.089999999999,-272,-269.5,-254.5,
